window_start_step,window_end_step,n_transactions,n_fraud,n_flagged,precision,recall,f1,average_precision,fraud_rate
188,355,20564,8,20231,0.000395432751717661,1.0,0.0007905528929294925,0.3403256704980843,0.00038902937171756465
189,356,34825,14,34292,0.00040825848594424355,1.0,0.0008161837579432169,0.38688991054336763,0.0004020100502512563
190,357,40221,32,39598,0.0008081216223041567,1.0,0.0016149381781478678,0.49476662171761654,0.0007956042863180925
191,358,43934,42,43235,0.0009714351798311553,1.0,0.0019409848187258822,0.568534532221902,0.000955979423680976
192,359,46027,54,45307,0.0011918688061447458,1.0,0.00238089989197769,0.607008367643438,0.0011732244117583159
193,360,46993,62,46273,0.001339874224709874,1.0,0.002676162727959426,0.59785219111457,0.001319345434426404
194,361,47320,76,46600,0.0016309012875536481,1.0,0.003256491558831091,0.661586643134692,0.001606086221470837
195,362,47433,96,46713,0.0020551024340119454,1.0,0.0041017752996218675,0.6920920306191176,0.0020239074062361646
196,363,47447,110,46727,0.0023540993429922745,1.0,0.00469714114909153,0.712367108333717,0.002318376293548591
197,364,47453,116,46733,0.002482186035563734,1.0,0.004952080087088305,0.7281030895743794,0.0024445240553811138
198,365,47467,130,46747,0.002780927118317753,1.0,0.005546430018985857,0.7369388197260806,0.0027387448121853077
199,366,47477,140,46757,0.0029942040763949783,1.0,0.005970531164040344,0.7416393948645674,0.002948796259241317
200,367,47491,154,46771,0.0032926386008424024,1.0,0.006563665423548215,0.7185994554591836,0.003242719673201238
201,368,47497,160,46777,0.0034204844261068474,1.0,0.006817649189338901,0.7136808769507481,0.0033686338084510602
202,369,53413,166,52691,0.0031504431496840067,1.0,0.006281098057021776,0.7067741421231284,0.0031078576376537548
203,370,64368,184,63640,0.0028912633563796353,1.0,0.005765856104286789,0.6885704684128188,0.002858563261247825
204,371,77052,190,76316,0.0024896483044184706,1.0,0.0049669306982458895,0.6640162086855413,0.0024658672065618024
205,372,90315,198,89567,0.002210635613563031,1.0,0.004411518966189494,0.637271275510138,0.002192326856003986
206,373,103198,210,102433,0.0020501205666142745,1.0,0.004091852342585466,0.6395054137458074,0.0020349231574255315
207,374,115647,224,114874,0.0019499625676828525,1.0,0.0038923352273714574,0.6388586079870113,0.0019369287573391442
208,375,127265,234,126478,0.0018501241322601558,1.0,0.0036934149883199696,0.6146796527266674,0.0018386830629002475
209,376,136207,238,135408,0.0017576509511993384,1.0,0.0035091340695634224,0.6126294519524088,0.0017473404450578899
210,377,144427,248,143508,0.0017281266549600022,1.0,0.003450290770472189,0.6114595707773643,0.0017171304534470701
211,378,161981,252,160840,0.0015667744342203432,1.0,0.0031286469843319347,0.593355849559496,0.0015557380186565091
212,379,181683,268,180256,0.001486774365347062,1.0,0.002969134297932685,0.5834184481413188,0.0014750967344220429
213,380,197860,282,196257,0.0014368914229810912,1.0,0.0028696594569016837,0.5684052193212984,0.0014252501768927525
214,381,203322,286,201624,0.0014184819267547514,1.0,0.0028329453717002625,0.5667606457012933,0.0014066357796991963
215,382,207153,294,205377,0.0014315137527571248,1.0,0.0028589349008853945,0.5653632173085357,0.0014192408509652286
216,383,209235,308,207418,0.0014849241628016854,1.0,0.002965444864870069,0.5666746756669929,0.0014720290582359548
217,384,210137,314,208320,0.0015072964669738864,1.0,0.003010055887343386,0.5678552647969758,0.001494263266345289
218,385,210409,322,208592,0.001543683362736826,1.0,0.0030826081545516338,0.5675686113626484,0.0015303527890917214
219,386,210539,338,208722,0.0016193788867488812,1.0,0.0032335214770879174,0.578577520096355,0.0016054032744527143
220,387,210567,366,208750,0.0017532934131736528,1.0,0.003500449511276038,0.5983370439727672,0.001738164099787716
221,388,210585,384,208768,0.0018393623543838135,1.0,0.0036719706242350062,0.6100528336291081,0.0018234917016881544
222,389,210595,394,208778,0.0018871720200404258,1.0,0.00376723462031247,0.6181722405982487,0.0018708896222607374
223,390,210607,406,208790,0.0019445375736385842,1.0,0.003881527371460257,0.6229477807778325,0.0019277611855256472
224,391,210619,418,208802,0.002001896533558108,1.0,0.003995793901156677,0.6317307490274594,0.001984626268285387
225,392,210629,428,208812,0.0020496906308066585,1.0,0.004090995985471229,0.6350210520439038,0.0020320088876650414
226,393,219014,432,217193,0.0019890143789164476,1.0,0.003970132107983917,0.6331740388298365,0.001972476645328609
227,394,231810,442,229981,0.0019218978959131407,1.0,0.003836422579343208,0.6229297391013422,0.0019067339631594841
228,395,241662,450,239820,0.0018764073054791093,1.0,0.0037457859907603945,0.6160901449340339,0.0018621049234054175
229,396,257298,458,255442,0.001792970615638775,1.0,0.003579523251270027,0.612356008371468,0.0017800371553607101
230,397,271242,468,269370,0.0017373872368860676,1.0,0.003468747915415916,0.6052964570380392,0.0017253965093901387
231,398,283471,494,281582,0.001754373503988181,1.0,0.0035026021355946623,0.6015301567647713,0.0017426826730071153
232,399,297238,506,295329,0.001713343423774841,1.0,0.0034208257981645173,0.6014290229839064,0.0017023395393590322
233,400,311631,522,309697,0.001685518426074518,1.0,0.003365364468327214,0.598645371919176,0.001675058001289987
234,401,327351,538,325203,0.0016543512821222436,1.0,0.0033032378484747086,0.6000770041593119,0.001643495819472065
235,402,346501,550,344059,0.0015985630371535115,1.0,0.0031920234236482506,0.5941291356295081,0.001587297006357846
236,403,367482,566,364714,0.0015519009415596878,1.0,0.003098992553657468,0.5921285810823307,0.0015402114933520553
237,404,383631,584,380679,0.0015341009091649396,1.0,0.003063502096977677,0.5896127745220937,0.0015222961648041998
238,405,389741,594,386681,0.0015361499530620849,1.0,0.003067587631527984,0.5955955984870751,0.0015240890745392454
239,406,393624,618,390501,0.0015825823749491038,1.0,0.003160163530792419,0.5976563711167571,0.0015700262179135418
240,407,395845,624,392690,0.0015890397005271335,1.0,0.0031730373187834654,0.5998582227070473,0.0015763745910646844
241,408,397917,634,394762,0.0016060309756258202,1.0,0.0032069115519630952,0.5968958000987441,0.0015932970946202349
242,409,398027,654,394872,0.001656232905853036,1.0,0.0033069886682544256,0.6027606491410493,0.001643104613506119
243,410,398047,674,394892,0.001706795782137901,1.0,0.0034077751879585203,0.6122127155741596,0.0016932673779729529
244,411,398063,690,394908,0.0017472423956972256,1.0,0.003488389728967285,0.6200431939610431,0.0017333939602525229
245,412,398071,698,394916,0.0017674644734576466,1.0,0.0035286921089749098,0.622114483859582,0.0017534560417613943
246,413,398152,712,394997,0.0018025453357873604,1.0,0.0035986040246746977,0.6279125204888307,0.0017882617693745103
247,414,398168,728,395013,0.0018429773197337809,1.0,0.003679174005220586,0.6295685057864672,0.0018283739527033816
248,415,398184,744,395029,0.0018834060284181667,1.0,0.0037597309568869024,0.6334982183531697,0.0018684829124223977
249,416,398954,752,395797,0.0018999638703678906,1.0,0.0037927217065230273,0.6350258824254413,0.0018849290895692236
250,417,398960,758,395803,0.0019150941251076924,1.0,0.0038228670998913155,0.6349004442948804,0.0018999398435933428
251,418,398966,764,395809,0.001930223921133678,1.0,0.003853010668905851,0.6352453577356048,0.0019149501461277402
252,419,399386,774,396229,0.0019534158277157905,1.0,0.003899214867393949,0.6370647436070618,0.0019379747913046527
253,420,400504,786,397347,0.001978119880104795,1.0,0.003948429293728478,0.6393757972578198,0.0019625272157082077
254,421,400518,800,397361,0.0020132826321657134,1.0,0.004018474938529891,0.6435886211175207,0.001997413349712123
255,422,400952,810,397795,0.002036224688595885,1.0,0.004064173806148944,0.6451076452800919,0.002020191943175243
256,423,401217,816,398060,0.0020499422197658643,1.0,0.0040914971068703055,0.645388895966985,0.002033812126604805
257,424,401231,830,398074,0.002085039465024091,1.0,0.0041614022421434735,0.6430947157801492,0.002068633779543455
258,425,401259,858,398102,0.0021552265499796535,1.0,0.004301183075997594,0.6505723458596007,0.002138269795817664
259,426,403606,860,400446,0.002147605419956748,1.0,0.004286006189790335,0.6494092524591762,0.002130790919857485
260,427,403620,874,400460,0.0021824901363432054,1.0,0.004355474492567288,0.65325129120038,0.0021654031019275556
261,428,404724,880,401564,0.0021914315028239584,1.0,0.0043732792636988005,0.6527814001016831,0.002174321265850308
262,429,405553,884,402393,0.0021968573011955975,1.0,0.004384083396771946,0.6528170501081975,0.0021797397627437106
