feature,mutual_info
amount_to_oldOrg_ratio,0.009401531626759274
failed_payment_attempts,0.008962649604767003
dest_is_merchant,0.005891177123543367
zero_dest_balance,0.005667994711212154
is_new_device,0.005515666663906682
ip_country_mismatch,0.004904932345775714
orig_balance_delta,0.004731550811839069
type_CASH_OUT,0.004481875800864565
shipping_billing_mismatch,0.0044021390931879845
type_PAYMENT,0.003738898913090205
home_billing_country_US,0.0032378879003966965
is_night,0.002726394385268338
ip_country_US,0.002616217254333586
step,0.00235120697791269
errorBalanceOrig,0.002315629954277809
amount_to_oldDest_ratio,0.0022115256613798318
hour_of_day,0.001929351903340648
type_CASH_IN,0.0018520851585330789
oldbalanceOrg,0.0016910816634149173
errorBalanceDest,0.0013852784121582973
oldbalanceDest,0.0011995741381499725
type_TRANSFER,0.0010046621031289948
ip_billing_distance_km,0.0009523480991778799
log_amount,0.0008736481828833798
amount,0.0008518539005994974
home_billing_country_GB,0.0007563871363009955
ip_country_GB,0.0005532895062693166
home_billing_country_IN,0.0005463892111655655
newbalanceDest,0.0004625892612456495
dest_balance_delta,0.0004549110720989402
account_age_days,0.00044089198593955103
amount_vs_prev_mean_orig,0.0004171823698988497
ip_country_NG,0.00033241411279438804
ip_country_FR,0.00030414268813239165
home_billing_country_BR,0.0002876196901712147
ip_country_IN,0.0002854100981907193
home_billing_country_VN,0.00027003273200920663
home_billing_country_FR,0.00021514861966864807
ip_country_DE,0.00020062722441083203
ip_country_BR,0.0001736023847332957
ip_country_RU,0.00016286332708825846
home_billing_country_DE,0.00016093700876107508
type_DEBIT,0.00015851282832701763
tx_count_prev_orig,0.00012680148132715452
home_billing_country_NG,0.00012585844041945737
invalid_ip_distance_flag,0.00010903879975365793
ip_country_VN,8.857843244935992e-05
home_billing_country_RU,6.911047515834046e-05
invalid_account_age_flag,5.074273781180416e-05
ip_country_CN,5.012674254634142e-05
invalid_amount_flag,1.0994576778999843e-06
amount_zero_flag,0.0
home_billing_country_CN,0.0
amount_mean_prev_orig,0.0
time_since_prev_orig,0.0
