feature,importance_mean,importance_std
orig_balance_delta,0.3816350451834324,0.014526435114567448
amount_to_oldDest_ratio,0.1269153275345226,0.001959878848743622
is_new_device,0.05115901228780646,0.001488349278621703
dest_is_merchant,0.019505135387488437,0.004506854918259098
errorBalanceDest,0.008095238095238155,0.0016666666666667052
type,0.007261904761904803,0.002041241452319362
log_amount,0.005378151260504204,0.004056888961396479
dest_balance_delta,0.0036904761904761997,0.003375582590180457
oldbalanceDest,0.002857142857142847,0.002332847374079209
ip_country_mismatch,0.001904761904761898,0.0023328473740792093
failed_payment_attempts,0.0016651205936920599,0.07079274840177224
account_age_days,0.0005402930402930606,0.005680047942190464
invalid_account_age_flag,0.0,0.0
invalid_amount_flag,0.0,0.0
ip_billing_distance_km,0.0,0.0
amount_zero_flag,0.0,0.0
amount_mean_prev_orig,0.0,0.0
invalid_ip_distance_flag,0.0,0.0
amount_to_oldOrg_ratio,0.0,0.0
tx_count_prev_orig,0.0,0.0
amount_vs_prev_mean_orig,0.0,0.0
time_since_prev_orig,0.0,0.0
errorBalanceOrig,-0.000146520146520146,0.0032483222384461956
newbalanceOrig,-0.001098901098901095,0.0021978021978021904
amount,-0.001098901098901095,0.00219780219780219
step,-0.0025274725274725186,0.005703474322095781
shipping_billing_mismatch,-0.004042624042624033,0.008374269174936874
home_billing_country,-0.009990009990009962,0.008004485763840193
zero_dest_balance,-0.015704295704295657,0.008972875486626791
is_night,-0.023116883116883046,0.004453617714151207
ip_country,-0.03461038961038956,0.02521253894568542
hour_of_day,-0.08023809523809515,0.03511884584284248
